date,open,high,low,close,preclose,volume
2020/1/2,3066.335938,3098.100098,3066.335938,3085.197998,3085.197998,292500
2020/1/3,3089.021973,3093.819092,3074.518066,3083.785889,3083.785889,261500
2020/1/6,3070.908936,3107.202881,3065.309082,3083.407959,3083.407959,312600
2020/1/7,3085.488037,3105.450928,3084.329102,3104.802002,3104.802002,276600
2020/1/8,3094.239014,3094.239014,3059.131104,3066.893066,3066.893066,297900
2020/1/9,3082.639893,3097.329102,3080.131104,3094.88208,3094.88208,243400
2020/1/10,3102.293945,3105.225098,3081.395996,3092.291016,3092.291016,210400
2020/1/13,3091.49292,3115.570068,3075.384033,3115.570068,3115.570068,210600
2020/1/14,3120.666992,3127.168945,3105.60498,3106.820068,3106.820068,230000
2020/1/15,3103.169922,3107.939941,3082.040039,3090.040039,3090.040039,202300
2020/1/16,3095.733887,3096.37207,3070.884033,3074.081055,3074.081055,203400
2020/1/17,3081.464111,3091.951904,3067.25293,3075.496094,3075.496094,190300
2020/1/20,3082.113037,3096.311035,3070.47998,3095.787109,3095.787109,210500
2020/1/21,3085.790039,3085.790039,3051.22998,3052.139893,3052.139893,234800
2020/1/22,3038.487061,3069.25293,3006.268066,3060.754883,3060.754883,223900
2020/1/23,3037.951904,3045.041016,2955.345947,2976.528076,2976.528076,272800
2020/2/3,2716.697998,2766.576904,2716.697998,2746.605957,2746.605957,215900
2020/2/4,2685.269043,2786.164063,2685.269043,2783.288086,2783.288086,364000
2020/2/5,2792.371094,2842.74292,2778.864014,2818.087891,2818.087891,309800
2020/2/6,2826.889893,2876.590088,2807.610107,2866.51001,2866.51001,316400
2020/2/7,2858.929932,2875.959961,2838.77002,2875.959961,2875.959961,309500
2020/2/10,2860.499023,2891.8479,2851.050049,2890.488037,2890.488037,294900
2020/2/11,2894.540039,2913.820068,2882.23999,2901.669922,2901.669922,269200
2020/2/12,2895.555908,2926.898926,2892.424072,2926.898926,2926.898926,248700
2020/2/13,2927.144043,2935.406006,2901.24292,2906.073975,2906.073975,274800
2020/2/14,2899.865967,2926.943115,2899.573975,2917.008057,2917.008057,250700
2020/2/17,2924.990967,2983.636963,2924.990967,2983.62207,2983.62207,313200
2020/2/18,2981.409912,2990.600098,2960.774902,2984.971924,2984.971924,311700
2020/2/19,2979.521973,2998.271973,2971.822021,2975.4021,2975.4021,315100
2020/2/20,2981.879883,3031.371094,2968.445068,3030.154053,3030.154053,345700
2020/2/21,3022.246094,3058.897949,3020.141113,3039.668945,3039.668945,364600
2020/2/24,3027.893066,3042.181885,3007.355957,3031.23291,3031.23291,370400
2020/2/25,2982.070068,3016.946045,2943.717041,3013.050049,3013.050049,441600
2020/2/26,2978.419922,3028.780029,2974.939941,2987.928955,2987.928955,469000
2020/2/27,2992.48999,3009.459961,2980.47998,2991.330078,2991.330078,350500
2020/2/28,2924.641113,2948.125977,2878.543945,2880.303955,2880.303955,401200
2020/3/2,2899.310059,2982.50708,2899.310059,2970.930908,2970.930908,367300
2020/3/3,3006.888916,3026.842041,2976.623047,2992.896973,2992.896973,410100
2020/3/4,2981.805908,3012.003906,2974.35791,3011.666016,3011.666016,353300
2020/3/5,3036.155029,3074.25708,3022.926025,3071.677002,3071.677002,445400
2020/3/6,3039.939941,3052.444092,3029.462891,3034.510986,3034.510986,362100
2020/3/9,2987.180908,2989.205078,2940.714111,2943.291016,2943.291016,414600
2020/3/10,2918.935059,3000.295898,2904.799072,2996.761963,2996.761963,393300
2020/3/11,3001.761963,3010.029053,2968.51709,2968.51709,2968.51709,352500
2020/3/12,2936.016113,2944.465088,2906.283936,2923.486084,2923.486084,307800
2020/3/13,2804.231934,2910.881104,2799.983887,2887.427002,2887.427002,366500
2020/3/16,2897.301025,2898.034912,2784.662109,2789.253906,2789.253906,351900
2020/3/17,2796.283936,2826.906982,2715.220947,2779.641113,2779.641113,306100
2020/3/18,2792.322021,2815.874023,2728.756104,2728.756104,2728.756104,291200
2020/3/19,2719.406006,2736.820068,2646.804932,2702.129883,2702.129883,302300
2020/3/20,2727.019043,2751.895996,2702.49292,2745.61792,2745.61792,252000
2020/3/23,2677.590088,2703.330078,2656.5,2660.169922,2660.169922,249800
2020/3/24,2703.019043,2723.406982,2667.133057,2722.437988,2722.437988,257000
2020/3/25,2775.302979,2788.63501,2757.802002,2781.591064,2781.591064,273100
2020/3/26,2761.895996,2788.503906,2753.427979,2764.910889,2764.910889,234100
2020/3/27,2792.983887,2805.548096,2771.756104,2772.202881,2772.202881,240800
2020/3/30,2739.718994,2759.099121,2723.053955,2747.214111,2747.214111,239700
2020/3/31,2767.306885,2771.167969,2743.11499,2750.295898,2750.295898,218600
2020/4/1,2743.541016,2773.364014,2731.079102,2734.521973,2734.521973,217300
2020/4/2,2720.228027,2780.637939,2719.904053,2780.637939,2780.637939,217900
2020/4/3,2773.575928,2780.586914,2754.072998,2763.987061,2763.987061,200800
2020/4/7,2806.968018,2823.2771,2801.839111,2820.762939,2820.762939,270200
2020/4/8,2805.916992,2823.214111,2800.295898,2815.368896,2815.368896,243500
2020/4/9,2825.839111,2832.39502,2820.433105,2825.904053,2825.904053,238200
2020/4/10,2827.187012,2833.014893,2789.976074,2796.631104,2796.631104,233500
2020/4/13,2784.5979,2792.891113,2774.081055,2783.048096,2783.048096,177100
2020/4/14,2794.801025,2827.298096,2789.427979,2827.282959,2827.282959,202700
2020/4/15,2826.662109,2829.75,2808.704102,2811.174072,2811.174072,205600
2020/4/16,2798.429932,2823.337891,2796.839111,2819.935059,2819.935059,203000
2020/4/17,2835.558105,2854.959961,2830.021973,2838.495117,2838.495117,245700
2020/4/20,2840.408936,2852.98999,2833.261963,2852.552979,2852.552979,211800
2020/4/21,2842.237061,2842.237061,2808.020996,2827.012939,2827.012939,233200
2020/4/22,2814.065918,2843.97998,2808.481934,2843.97998,2843.97998,217300
2020/4/23,2850.51001,2853.635986,2835.895996,2838.499023,2838.499023,248800
2020/4/24,2834.938965,2834.938965,2802.499023,2808.529053,2808.529053,235200
2020/4/27,2812.241943,2832.666016,2802.958008,2815.495117,2815.495117,210100
2020/4/28,2819.990967,2821.745117,2758.246094,2810.023926,2810.023926,253900
2020/4/29,2801.383057,2831.763916,2800.738037,2822.441895,2822.441895,202100
2020/4/30,2832.384033,2865.590088,2832.384033,2860.082031,2860.082031,242500
2020/5/6,2831.633057,2879.262939,2830.654053,2878.139893,2878.139893,249800
2020/5/7,2876.4729,2882.021973,2864.581055,2871.522949,2871.522949,226700
2020/5/8,2882.709961,2903.800049,2879.199951,2895.340088,2895.340088,226800
2020/5/11,2901.570068,2914.280029,2884.379883,2894.800049,2894.800049,225100
2020/5/12,2894.616943,2897.9021,2871.22998,2891.555908,2891.555908,197100
2020/5/13,2882.955078,2900.259033,2875.534912,2898.050049,2898.050049,185100
2020/5/14,2887.058105,2887.058105,2869.183105,2870.342041,2870.342041,197800
2020/5/15,2880.707031,2884.219971,2863.370117,2868.458984,2868.458984,189000
2020/5/18,2872.523926,2889.97998,2862.270996,2875.417969,2875.417969,226000
2020/5/19,2897.687012,2900.218994,2887.576904,2898.575928,2898.575928,197200
2020/5/20,2896.466064,2896.466064,2876.177002,2883.738037,2883.738037,210500
2020/5/21,2890.720947,2891.518066,2864.207031,2867.924072,2867.924072,203500
2020/5/22,2863.045898,2863.045898,2808.018066,2813.764893,2813.764893,209100
2020/5/25,2816.240967,2821.498047,2802.465088,2817.969971,2817.969971,172900
2020/5/26,2827.896973,2848.336914,2825.900879,2846.547119,2846.547119,174600
2020/5/27,2847.320068,2848.99707,2831.927979,2836.803955,2836.803955,198100
2020/5/28,2838.207031,2861.924072,2820.145996,2846.221924,2846.221924,207500
2020/5/29,2835.583984,2855.375977,2829.626953,2852.351074,2852.351074,206800
2020/6/1,2871.964111,2917.150879,2871.964111,2915.430908,2915.430908,260200
2020/6/2,2916.316895,2926.358887,2909.12793,2921.397949,2921.397949,256100
2020/6/3,2930.391113,2942.76001,2922.660889,2923.371094,2923.371094,255700
2020/6/4,2931.837891,2932.968018,2910.751953,2919.250977,2919.250977,226600
2020/6/5,2923.188965,2930.799072,2909.11792,2930.799072,2930.799072,217400
2020/6/8,2941.981934,2950.065918,2934.209961,2937.770996,2937.770996,231100
2020/6/9,2939.534912,2957.118896,2932.938965,2956.112061,2956.112061,209000
2020/6/10,2951.278076,2951.330078,2934.843018,2943.75293,2943.75293,207900
2020/6/11,2939.791016,2952.650879,2912.193115,2920.896973,2920.896973,233700
2020/6/12,2876.802979,2930.254883,2872.616943,2919.740967,2919.740967,236000
2020/6/15,2908.280029,2922.540039,2890.030029,2890.030029,2890.030029,243200
2020/6/16,2912.830078,2931.780029,2909.129883,2931.75,2931.75,223300
2020/6/17,2932.669922,2936.620117,2919.040039,2935.870117,2935.870117,234700
2020/6/18,2929.879883,2942.899902,2920.110107,2939.320068,2939.320068,258700
2020/6/19,2938.790039,2973.320068,2935.820068,2967.629883,2967.629883,264300
