date,open,high,low,close,preclose,volume
2020/1/6,23319.75977,23365.35938,23148.5293,23204.85938,23204.85938,72800000
2020/1/7,23320.11914,23577.43945,23299.91992,23575.7207,23575.7207,64300000
2020/1/8,23217.49023,23303.21094,22951.17969,23204.75977,23204.75977,79400000
2020/1/9,23530.28906,23767.08984,23506.15039,23739.86914,23739.86914,62200000
2020/1/10,23813.2793,23903.28906,23761.08008,23850.57031,23850.57031,55900000
2020/1/14,23969.03906,24059.85938,23951.66016,24025.16992,24025.16992,64200000
2020/1/15,23923.48047,23997.39063,23875.82031,23916.58008,23916.58008,57200000
2020/1/16,23960.19922,23975.38086,23905.38086,23933.13086,23933.13086,55400000
2020/1/17,24103.44922,24115.94922,24013.75,24041.25977,24041.25977,59400000
2020/1/20,24080.67969,24108.10938,24061.66992,24083.50977,24083.50977,38300000
2020/1/21,24072.81055,24081.75,23843.48047,23864.56055,23864.56055,44600000
2020/1/22,23835.49023,24040.86914,23831.09961,24031.34961,24031.34961,49000000
2020/1/23,23843.50977,23910.00977,23779.23047,23795.43945,23795.43945,55500000
2020/1/24,23850.11914,23869.38086,23755.32031,23827.17969,23827.17969,48700000
2020/1/27,23427.90039,23463.89063,23317.32031,23343.50977,23343.50977,62400000
2020/1/28,23126.92969,23243.35938,23115.15039,23215.71094,23215.71094,64400000
2020/1/29,23309.32031,23392.60938,23214.2793,23379.40039,23379.40039,54900000
2020/1/30,23284.58008,23318.57031,22892.94922,22977.75,22977.75,69600000
2020/1/31,23148.91992,23421.58984,23139.98047,23205.17969,23205.17969,75400000
2020/2/3,22874.26953,23023.73047,22775.91992,22971.93945,22971.93945,72500000
2020/2/4,22881.13086,23118.13086,22854.44922,23084.58984,23084.58984,67900000
2020/2/5,23351.4707,23414.68945,23241.64063,23319.56055,23319.56055,70300000
2020/2/6,23641.09961,23995.36914,23625.13086,23873.58984,23873.58984,95100000
2020/2/7,23899.00977,23943.44922,23759.41992,23827.98047,23827.98047,65400000
2020/2/10,23631.78906,23788.25,23621.7207,23685.98047,23685.98047,56500000
2020/2/12,23741.21094,23869.73047,23693.7207,23861.21094,23861.21094,74600000
2020/2/13,23849.75977,23908.84961,23784.31055,23827.73047,23827.73047,64500000
2020/2/14,23714.51953,23738.41992,23603.48047,23687.58984,23687.58984,69100000
2020/2/17,23489.7793,23561.98047,23335.99023,23523.24023,23523.24023,54000000
2020/2/18,23398.57031,23402.00977,23133.59961,23193.80078,23193.80078,59500000
2020/2/19,23329.33008,23468.56055,23234.96094,23400.69922,23400.69922,61600000
2020/2/20,23666.58008,23806.56055,23426.41992,23479.15039,23479.15039,63300000
2020/2/21,23427.76953,23588.55078,23378.33008,23386.74023,23386.74023,62100000
2020/2/25,22949.36914,22950.23047,22335.21094,22605.41016,22605.41016,105800000
2020/2/26,22374.14063,22456.55078,22127.41992,22426.18945,22426.18945,99300000
2020/2/27,22255.83008,22272.25977,21844.28906,21948.23047,21948.23047,106200000
2020/2/28,21518.00977,21528.13086,20916.40039,21142.96094,21142.96094,148500000
2020/3/2,20849.78906,21593.10938,20834.28906,21344.08008,21344.08008,123700000
2020/3/3,21651.99023,21719.7793,21082.73047,21082.73047,21082.73047,105300000
2020/3/4,20897.19922,21245.92969,20862.05078,21100.06055,21100.06055,94600000
2020/3/5,21399.86914,21399.86914,21220.75977,21329.11914,21329.11914,85700000
2020/3/6,21009.80078,21061.19922,20613.91016,20749.75,20749.75,111700000
